"","coefs","pvals"
"Low_z_score_65",-6.18386782321486,0.000661228895366688
"bb_lower_band_z_score_10",-0.693638583002063,0.00399488153222829
"Low_rolling_max_10_delta",75.8199124361991,0.00425966856311351
"Close_rolling_mean_65_delta",-2746.84284727769,0.00746510732059547
"bb_lower_band_z_score_65_delta",0.0237511466455278,0.00776127504793651
"market_macd_hist_rolling_max_65_delta",3.98480591123632,0.00792729549060241
"market_macd_hist_z_score_5_delta",0.0172777322066796,0.00843137394428094
"market_bb_upper_band_rolling_max_65_delta",381.010704392559,0.0089537144056236
"market_bb_lower_diff_delta",-0.234259421169176,0.00949618407200369
"Open_delta",-35.5210150773808,0.0113574833184332
"Open_z_score_65",3.94758962275884,0.0129507322813997
"market_bb_upper_diff_rolling_min_5_delta",-0.787187202045237,0.0136966189114806
"Low_z_score_5_delta",2.43387509321421e-13,0.0139558419102476
"market_bb_lower_band_rolling_min_21_delta",193.706998115125,0.0149731898271248
"market_bb_lower_diff_rolling_max_5_delta",0.237784133992792,0.0182869722526553
"bb_upper_diff_rolling_mean_65_delta",-44.1801791430967,0.0193372850248363
"Close_z_score_65",3.60857735880743,0.0194360894575488
"rsi_z_score_65",1.88544727793066,0.020914740315947
"bb_lower_diff_rolling_mean_5_delta",-0.047647018122462,0.0225308755958557
"bb_lower_band_rolling_mean_65_delta",709.157344138525,0.0226254811759925
"market_bb_lower_diff_rolling_min_65_delta",0.460677818063655,0.0238382358549646
"market_bb_upper_band_z_score_21",-0.509843088308613,0.0244695435353705
"Open_rolling_stdev_65_delta",-47.4049331679846,0.0253040934271183
"market_macd_hist_rolling_stdev_21_delta",-4.21810884356403,0.0261426120463163
"market_bb_lower_band_rolling_min_65_delta",-232.061139402559,0.0289233952860874
"High_z_score_5_delta",0.0086661290277315,0.0340362246075726
"High_rolling_min_21_delta",52.2294091553186,0.037233624493916
"macd_hist_rolling_stdev_21_delta",4.61839178028413,0.0409988934092775
"market_bb_upper_band_z_score_10",0.518392459309539,0.0468801052516931
"bb_lower_band_z_score_65",0.729679717950519,0.0477737916174862
"bb_upper_band_z_score_21",-0.474040491919861,0.0481225814819913
"market_macd_hist_rolling_min_21_delta",0.274101354938103,0.0500137040560246
"Low_rolling_stdev_10_delta",-2.85579518476531,0.0516828653183788
"market_bb_lower_diff_rolling_stdev_10_delta",-1.50650480934591,0.0529083945067374
"High_z_score_10_delta",-0.0186917711936786,0.0537770345304362
"Close_rolling_max_5_delta",38.8905868996184,0.0561017307259733
"market_bb_lower_diff_rolling_stdev_65_delta",-13.9387117394701,0.0584469322130662
"market_bb_upper_band_delta",-640.81942637873,0.0608973025554264
"market_macd_hist_rolling_stdev_65_delta",-14.796504909598,0.0621998747534087
"Close_rolling_max_10_delta",-48.6585169152662,0.0695202994787608
"market_bb_upper_diff_rolling_stdev_65_delta",13.343920681391,0.0712627840277013
"Low_z_score_21",1.95778097212789,0.0737643325673145
"market_Open_rolling_min_21_delta",-37.8276756570113,0.077379466814986
"bb_lower_diff_rolling_mean_65_delta",56.1775947102773,0.078005953974306
"market_bb_lower_band_rolling_mean_5_delta",781.353147012987,0.082705373629663
"market_bb_lower_band_z_score_65",0.70997477568942,0.0841130210643487
"market_bb_lower_diff_z_score_10_delta",-0.00587672583865057,0.0856295563958295
"market_bb_upper_diff_z_score_65",-0.902954337111465,0.0866080972687092
"market_bb_upper_band_rolling_mean_65_delta",-1002.13067233061,0.0896218158077675
"Open_z_score_5",0.513775521198013,0.0898759521397808
"Low_delta",26.0765077115924,0.0910679185530745
"macd_hist_rolling_stdev_65_delta",-17.0905997836687,0.0931648630310522
"macd_hist_z_score_65",-1.09942390942572,0.0968195929755359
"market_bb_upper_diff_rolling_stdev_5_delta",0.485935299962869,0.101175888757477
"bb_lower_band_z_score_5",0.3385920518343,0.10206180193173
"High_rolling_mean_65_delta",1802.06959528595,0.105822279763268
"High_rolling_stdev_65_delta",47.531043839239,0.109440868426922
"market_rsi_rolling_min_21_delta",0.693710442238245,0.112862548818976
"bb_upper_band_rolling_mean_65_delta",515.794662030873,0.119420681737639
"High_z_score_5",-0.549544064204215,0.121527191370247
"bb_lower_diff_rolling_stdev_21_delta",2.72296366801491,0.123025138888659
"market_bb_lower_diff_rolling_max_10_delta",1.33091936900844,0.123976985491955
"rsi_z_score_21",-0.70940269730643,0.124531715836965
"bb_lower_diff_rolling_max_21_delta",-3.46229376972225,0.125170216863295
"bb_upper_diff_rolling_min_5_delta",0.163509483076348,0.125270210617209
"market_bb_lower_band_rolling_mean_65_delta",-664.086700511085,0.127736865688578
"market_macd_hist_rolling_max_21_delta",-0.0142335830290383,0.127844513506529
"Close_rolling_stdev_10_delta",1.84150590840774,0.129417121166585
"Close_rolling_stdev_5_delta",-0.672091069969328,0.132894078331214
"Volume_z_score_5",0.322409633035248,0.136273563661717
"Volume_z_score_10_delta",0.00192181878363336,0.141764381437166
"High_z_score_21",-1.30942126281682,0.14446549721859
"bb_lower_diff_rolling_stdev_65_delta",-12.7924941109318,0.146488487555137
"market_bb_upper_diff_rolling_max_65_delta",-0.4338766680192,0.147641861837881
"market_bb_lower_band_z_score_10",-0.356580125896044,0.149673576774475
"market_rsi_z_score_65",-0.799855618736067,0.149674259788498
"Open_rolling_mean_65_delta",-1372.88699470002,0.150351239582757
"Low_rolling_min_5_delta",26.5551012679405,0.151431738529985
"rsi_z_score_10",-0.409303901298979,0.152385559590955
"rsi_z_score_5",0.286984021826259,0.153387432889257
"market_bb_lower_diff_rolling_mean_65_delta",-38.593569742365,0.154913067933518
"rsi_rolling_mean_21_delta",-21.6720973220595,0.160259810594051
"macd_hist_z_score_10",0.349866668808932,0.161747277242388
"Volume_z_score_21_delta",-0.000457866302931052,0.16623716152509
"High_rolling_min_65_delta",34.6637296507714,0.166533796608321
"market_macd_hist_rolling_stdev_10_delta",0.807347317932221,0.173065969768673
"Low_rolling_mean_10_delta",-232.415345464837,0.173656045227559
"market_bb_lower_band_rolling_mean_21_delta",-762.042467153189,0.175855845812817
"bb_upper_band_z_score_5_delta",-0.0324099774871431,0.177271200504397
"market_Open_z_score_65",0.842592738529856,0.185910891454337
"bb_upper_diff_rolling_stdev_65_delta",12.1187625580768,0.189694153198778
"bb_lower_band_rolling_min_5_delta",103.22461643563,0.1906050810728
"market_bb_upper_band_rolling_min_21_delta",155.472629603165,0.191152777463765
"Close_z_score_65_delta",-0.0149984655334987,0.191530999223485
"macd_hist_rolling_min_65_delta",-2.17420242197128,0.192534982246631
"Low_z_score_21_delta",-0.0103527822280917,0.194432228673252
"Close_rolling_mean_10_delta",182.152208174809,0.196741122206176
"Open_rolling_max_65_delta",45.4087267877217,0.19912490225433
"market_bb_upper_diff_rolling_mean_65_delta",-20.5199133826757,0.199887368303384
"Volume_rolling_stdev_10_delta",-1.60463629079605,0.206049785064263
"market_bb_upper_band_rolling_stdev_65_delta",-10.0145052200256,0.207359287648362
"Open_rolling_min_5_delta",-19.6722341171215,0.209869560848333
"Close_delta",-19.4997797752282,0.211705787083267
"market_bb_lower_band_rolling_stdev_5_delta",0.293726500049382,0.212336494554161
"market_macd_hist_rolling_stdev_5_delta",-0.289644497813815,0.214551080979337
"market_bb_lower_band_z_score_65_delta",-0.172903402123023,0.218613324692769
"market_Open_rolling_stdev_5_delta",-0.478523467914114,0.220484072296966
"market_Open_rolling_mean_10_delta",-155.054941414492,0.221151050569179
"market_bb_lower_diff_rolling_stdev_5_delta",0.2805509423494,0.22274457161022
"rsi_rolling_min_65_delta",-2.33677071883253,0.225343159316275
"market_Open_rolling_max_5_delta",-29.3035970607755,0.228448125727342
"Low_rolling_max_21_delta",-39.6603471725562,0.231644465862803
"market_rsi_rolling_max_5_delta",-2.37232848917571,0.232112346905891
"High_z_score_65_delta",0.00612344138794483,0.233870967721999
"bb_upper_diff_rolling_max_5_delta",-0.0261520226863581,0.236140160526826
"bb_lower_band_rolling_min_21_delta",-62.5157923261019,0.236327816814182
"bb_upper_band_rolling_min_21_delta",-90.1734231008595,0.238456138318465
"Volume_z_score_5_delta",-0.00263912707836572,0.239000061444176
"market_rsi_rolling_max_21_delta",3.92607003843991,0.239004643532396
"bb_lower_band_rolling_mean_10_delta",-455.144673178608,0.239157147011355
"bb_upper_band_delta",220.142058080702,0.24369448908475
"rsi_z_score_65_delta",0.010991457044887,0.244562087857131
"market_bb_lower_band_delta",-324.098673064571,0.244570271598048
"market_rsi_rolling_max_65_delta",-7.61662800816539,0.245270843048201
"Volume_rolling_max_65_delta",-4.90625941754504,0.247513612388253
"market_macd_hist_rolling_mean_10_delta",0.0354146431075514,0.248228451169933
"bb_lower_band_delta",188.6184298626,0.251807293274122
"Close_rolling_min_21_delta",-26.5277659391278,0.254006279994508
"Close_rolling_stdev_65_delta",-29.5332924289284,0.254670735747755
"bb_upper_band_rolling_max_21_delta",106.733005076876,0.258095373284413
"macd_hist_z_score_65_delta",-0.00444327794911903,0.259275793697881
"rsi_rolling_max_5_delta",-1.95024421977202,0.263894633054493
"Open_rolling_min_10_delta",-23.0715163748191,0.267475332179038
"macd_hist_z_score_10_delta",-0.00451718267820119,0.271671018468899
"Low_rolling_min_65_delta",-26.7312887115841,0.272770125485815
"bb_lower_diff_rolling_min_65_delta",-0.176500914509939,0.274000270369722
"market_macd_hist_z_score_65",0.585938992534467,0.276368574905948
"market_Open_rolling_stdev_10_delta",1.30689114609783,0.282107625199933
"Volume_rolling_max_10_delta",2.36057278361438,0.28697991512113
"High_rolling_stdev_5_delta",0.242449242479044,0.288595850348337
"macd_hist_rolling_min_21_delta",0.0670843974833986,0.289155881232429
"market_bb_lower_diff_z_score_5",0.359813848389078,0.292636397983734
"market_bb_lower_diff_z_score_5_delta",0.000233545745181757,0.295016624372993
"Close_rolling_min_65_delta",-21.5233507823086,0.295074129016458
"market_bb_upper_band_rolling_min_10_delta",-170.086103105439,0.296785530610304
"bb_lower_diff_z_score_5_delta",0.00917684318831086,0.297601222100109
"High_rolling_min_10_delta",-25.603144065299,0.298163590018495
"market_bb_lower_diff_z_score_21",0.34553604187746,0.299982120782618
"Open_rolling_stdev_5_delta",-0.294739540699755,0.305737564103528
"bb_upper_band_rolling_max_65_delta",-93.0716497666352,0.307367411947913
"market_rsi_rolling_stdev_65_delta",10.9448696075598,0.309226484273575
"market_rsi_rolling_min_5_delta",-0.377641853773998,0.318363169858724
"rsi_rolling_min_10_delta",1.56909535691796,0.320389187573743
"market_Open_z_score_5_delta",-3.03470754703108e-13,0.326215755008267
"bb_upper_diff_z_score_5_delta",0.00537035532443015,0.327950087170313
"market_rsi_z_score_21",0.400784993431848,0.328869108017239
"bb_upper_diff_rolling_mean_5_delta",0.074545225071506,0.332167645657483
"market_bb_lower_diff_rolling_stdev_21_delta",-1.98944374659397,0.334707930293007
"market_rsi_z_score_10",-0.288553647198862,0.338476784029584
"bb_upper_diff_z_score_21_delta",0.00650416787510414,0.340354050558341
"bb_upper_band_rolling_max_10_delta",-77.3381384589254,0.345421840336239
"High_delta",16.3826257698548,0.346243049463298
"Low",0.869480634760825,0.348459878146061
"bb_upper_diff_rolling_stdev_5_delta",0.282880455801125,0.351912138126911
"Open_z_score_10_delta",0.0019888838679733,0.353733054413548
"macd_hist_rolling_mean_65_delta",0.0071028906917301,0.35404113127172
"Close_z_score_10_delta",-0.0039935232271627,0.357860899113766
"market_bb_upper_diff_z_score_10_delta",-0.00238775128054244,0.369126476713915
"market_bb_upper_band_rolling_stdev_5_delta",-0.213397154054372,0.369284681996721
"market_bb_lower_band_z_score_5",0.205305312857704,0.370288274148896
"High_z_score_10",0.507296832231667,0.370499524250391
"market_Open_rolling_max_65_delta",-32.76345126637,0.370805947168569
"market_bb_upper_band_rolling_mean_5_delta",516.549270875189,0.371553740921113
"bb_upper_diff_rolling_min_21_delta",-1.48478764232985,0.372309818457655
"Open_z_score_65_delta",0.0114801292034866,0.373816766318695
"Low_rolling_stdev_65_delta",22.2192034626688,0.37727994781814
"market_macd_hist_z_score_21",0.31821808286801,0.379701006333008
"market_bb_lower_band_rolling_max_10_delta",-89.7185262326967,0.381709455215092
"bb_lower_band_z_score_21_delta",-0.0245250823621935,0.386454612246453
"market_Open_rolling_stdev_21_delta",-2.17649880757865,0.38903262149353
"bb_upper_band_rolling_stdev_21_delta",-0.992589119473813,0.394801513413904
"market_bb_upper_band_rolling_min_5_delta",167.246049249429,0.395481293163848
"Close_rolling_min_10_delta",15.8330995123487,0.397630612346287
"market_bb_lower_diff_rolling_max_21_delta",1.44255709834585,0.402093990677669
"market_bb_upper_diff_rolling_stdev_10_delta",0.97559992362139,0.405195769718058
"market_bb_upper_band_z_score_21_delta",-0.000959062144456081,0.405990455896405
"market_bb_upper_diff_z_score_10",-0.327002337743917,0.411301855724936
"High_rolling_stdev_21_delta",3.64892869772792,0.412930905088547
"market_bb_upper_band_z_score_65_delta",-0.0735193462792448,0.41317134279405
"macd_hist_rolling_max_10_delta",0.0433109233245804,0.414258890365901
"macd_hist_rolling_mean_10_delta",0.0210308133677999,0.415417515174209
"macd_hist_delta",0.0332318896673854,0.417196159618786
"bb_upper_diff_z_score_5",0.264781588125963,0.422436599491507
"market_bb_upper_band_rolling_max_5_delta",142.915126997804,0.424031417343761
"bb_upper_band_rolling_stdev_65_delta",5.28312711099566,0.425532231975423
"rsi_z_score_21_delta",0.0198641057698252,0.427390912518222
"High_rolling_mean_5_delta",-70.2649150419929,0.43371844602514
"market_macd_hist_rolling_mean_65_delta",0.0331368101569293,0.437234150234208
"rsi_rolling_min_21_delta",1.20008544784406,0.442291774526475
"market_Open_rolling_min_10_delta",22.1915724938063,0.443286500904932
